,Unnamed: 0,BARRIO,HERIDOS,MUERTOS,SOLO_DAÑOS,NRO_CLUSTER,NOMBRE_CLUSTER
0,1,Aldea Pablo VI,64,2,17,3,Accidentalidad Baja
1,2,Alejandría,132,1,366,3,Accidentalidad Baja
2,3,Alejandro Echavarría,595,3,243,0,Accidentalidad moderada
3,4,Alfonso López,772,7,369,0,Accidentalidad moderada
4,5,Altamira,504,2,270,0,Accidentalidad moderada
5,6,Altavista,214,3,137,3,Accidentalidad Baja
6,7,Altos del Poblado,128,1,146,3,Accidentalidad Baja
7,8,Andalucía,159,6,78,3,Accidentalidad Baja
8,9,Antonio Nariño,190,1,50,3,Accidentalidad Baja
9,10,Aranjuez,263,2,108,3,Accidentalidad Baja
10,11,Asomadera No.1,167,2,247,3,Accidentalidad Baja
11,12,Asomadera No.2,181,1,307,3,Accidentalidad Baja
12,13,Asomadera No.3,64,1,79,3,Accidentalidad Baja
13,14,Astorga,104,0,197,3,Accidentalidad Baja
14,15,Aures No.1,386,3,97,3,Accidentalidad Baja
15,16,Aures No.2,470,2,111,0,Accidentalidad moderada
16,17,Ecoparque Cerro El Volador,99,2,68,3,Accidentalidad Baja
17,18,Barrio Caicedo,573,7,328,0,Accidentalidad moderada
18,19,Barrio Colombia,513,7,670,0,Accidentalidad moderada
19,20,Barrio Colón,1402,17,2212,2,Accidentalidad Alta
20,21,Barrio Cristóbal,90,1,63,3,Accidentalidad Baja
21,22,Barrios de Jesús,176,4,87,3,Accidentalidad Baja
22,23,Batallón Girardot,9,0,2,3,Accidentalidad Baja
23,24,Belalcázar,306,4,246,3,Accidentalidad Baja
24,25,Belén,1047,6,1387,1,Accidentalidad Media
25,26,Belencito,114,2,43,3,Accidentalidad Baja
26,27,Bello Horizonte,227,1,107,3,Accidentalidad Baja
27,28,Berlín,543,5,262,0,Accidentalidad moderada
28,29,Bermejal-Los Álamos,161,2,69,3,Accidentalidad Baja
29,30,Betania,81,2,27,3,Accidentalidad Baja
30,31,Blanquizal,62,1,25,3,Accidentalidad Baja
31,32,Bolivariana,457,3,477,0,Accidentalidad moderada
32,33,Bomboná No.1,560,7,666,0,Accidentalidad moderada
33,34,Bomboná No.2,202,2,129,3,Accidentalidad Baja
34,35,Bosques de San Pablo,189,1,178,3,Accidentalidad Baja
35,36,Boston,1186,11,1098,1,Accidentalidad Media
36,37,Boyacá,378,2,205,3,Accidentalidad Baja
37,38,Brasilia,359,5,136,3,Accidentalidad Baja
38,39,Buenos Aires,608,0,384,0,Accidentalidad moderada
39,40,Calasanz,382,4,425,0,Accidentalidad moderada
40,41,Calasanz Parte Alta,237,1,196,3,Accidentalidad Baja
41,42,Calle Nueva,610,5,1005,1,Accidentalidad Media
42,43,Campo Alegre,365,3,175,3,Accidentalidad Baja
43,44,Campo Amor,1944,24,2180,2,Accidentalidad Alta
44,45,Campo Valdés No.1,901,7,303,0,Accidentalidad moderada
45,46,Campo Valdés No.2,770,9,165,0,Accidentalidad moderada
46,47,Caribe,2257,24,2156,2,Accidentalidad Alta
47,48,Carlos E. Restrepo,1361,7,1619,1,Accidentalidad Media
48,49,Carpinelo,83,1,21,3,Accidentalidad Baja
49,50,Castilla,1907,17,666,1,Accidentalidad Media
